analysis,variant,outcome,outcome_label,pathway,pathway_label,beta_log_rate,percent_difference_per_1sd,ci_low_percent,ci_high_percent,p_value,n,n_countries,r2,sdi_quintile
pathway_model_variant,sdi_stratum_Middle SDI,age5_69,5-69 years,household_disadvantage,Household disadvantage,0.30966218228041836,36.29646027581319,0.680680181765303,84.51131885659264,0.04508480131870466,642,89,0.1806404857760826,Middle SDI
pathway_model_variant,sdi_stratum_Middle SDI,age5_69,5-69 years,ambient_pollution,Ambient pollution,-0.0852249893633636,-8.169434784675111,-16.853569108436794,1.4217040628464295,0.09267662360129932,642,89,0.1806404857760826,Middle SDI
pathway_model_variant,sdi_stratum_Middle SDI,age5_69,5-69 years,thermal_context,Thermal context,0.24728204758129677,28.054023512510405,15.356022432353168,42.14977763608785,3.4658683852667795e-06,642,89,0.1806404857760826,Middle SDI
pathway_model_variant,sdi_stratum_Middle SDI,age5_69,5-69 years,wetness_context,Wetness context,-0.1414765121145006,-13.192443539509036,-25.851188689028014,1.62741283927057,0.07853880003697469,642,89,0.1806404857760826,Middle SDI
pathway_model_variant,sdi_stratum_High-middle SDI,age5_69,5-69 years,household_disadvantage,Household disadvantage,0.09200416403938866,9.63693873966256,-19.031732949610515,48.45641106192722,0.5519091645986545,539,85,0.12570860559503516,High-middle SDI
pathway_model_variant,sdi_stratum_High-middle SDI,age5_69,5-69 years,ambient_pollution,Ambient pollution,-0.0952559845132187,-9.085982112754776,-20.365898475244126,3.791698407407673,0.15873352418040176,539,85,0.12570860559503516,High-middle SDI
pathway_model_variant,sdi_stratum_High-middle SDI,age5_69,5-69 years,thermal_context,Thermal context,0.16309483765792016,17.714832238481115,4.90763748620171,32.085537916687045,0.005516862677177059,539,85,0.12570860559503516,High-middle SDI
pathway_model_variant,sdi_stratum_High-middle SDI,age5_69,5-69 years,wetness_context,Wetness context,-0.07917983163870129,-7.612623222819037,-21.479760978996822,8.703532925895408,0.3399689967856304,539,85,0.12570860559503516,High-middle SDI
pathway_model_variant,sdi_stratum_High SDI,age5_69,5-69 years,household_disadvantage,Household disadvantage,-0.0016825729464187353,-0.16811582141333936,-46.228083085980906,85.3459141987248,0.9957474011114872,1931,87,0.14361818693109163,High SDI
pathway_model_variant,sdi_stratum_High SDI,age5_69,5-69 years,ambient_pollution,Ambient pollution,-0.005101728111465071,-0.5088736399387339,-18.78449863967936,21.879247909559396,0.9607070734677062,1931,87,0.14361818693109163,High SDI
pathway_model_variant,sdi_stratum_High SDI,age5_69,5-69 years,thermal_context,Thermal context,0.3212956684984616,37.89132218292997,18.42016342681223,60.56401362009534,3.522239725707966e-05,1931,87,0.14361818693109163,High SDI
pathway_model_variant,sdi_stratum_High SDI,age5_69,5-69 years,wetness_context,Wetness context,-0.019351007731712888,-1.9164978862807658,-26.888921455232516,31.585712841060108,0.8972983723352588,1931,87,0.14361818693109163,High SDI
pathway_model_variant,sdi_stratum_Low SDI,age70p,70+ years,household_disadvantage,Household disadvantage,0.42152812790133243,52.42890854652473,32.46454896997759,75.40219131347212,3.976347123007984e-09,2556,109,0.28245367203843275,Low SDI
pathway_model_variant,sdi_stratum_Low SDI,age70p,70+ years,ambient_pollution,Ambient pollution,0.07201178851696172,7.466801273123735,-2.507158084785732,18.461141854095132,0.14732742589683767,2556,109,0.28245367203843275,Low SDI
pathway_model_variant,sdi_stratum_Low SDI,age70p,70+ years,thermal_context,Thermal context,0.15032723615901133,16.221449911670803,-0.6898401852594715,36.01252323799111,0.06097397676365722,2556,109,0.28245367203843275,Low SDI
pathway_model_variant,sdi_stratum_Low SDI,age70p,70+ years,wetness_context,Wetness context,-0.03810106757558718,-3.7384353254998226,-12.654800741131867,6.088129767958339,0.44232633685803424,2556,109,0.28245367203843275,Low SDI
pathway_model_variant,sdi_stratum_Low-middle SDI,age70p,70+ years,household_disadvantage,Household disadvantage,-0.15109669171983015,-14.02354374742172,-32.09015801480882,8.849480629971707,0.20932651112669143,1234,96,0.3242990240649444,Low-middle SDI
pathway_model_variant,sdi_stratum_Low-middle SDI,age70p,70+ years,ambient_pollution,Ambient pollution,0.07852236662166404,8.168754858787096,-3.4038361619514235,21.12778668226616,0.17379575729566632,1234,96,0.3242990240649444,Low-middle SDI
pathway_model_variant,sdi_stratum_Low-middle SDI,age70p,70+ years,thermal_context,Thermal context,0.4611372076497596,58.58764307312929,36.82587568612288,83.81055783033453,9.156368680030907e-10,1234,96,0.3242990240649444,Low-middle SDI
pathway_model_variant,sdi_stratum_Low-middle SDI,age70p,70+ years,wetness_context,Wetness context,-0.0986442874957148,-9.393505066030738,-23.722818966469305,7.6276917025888125,0.26140672740360416,1234,96,0.3242990240649444,Low-middle SDI
pathway_model_variant,sdi_stratum_Middle SDI,age70p,70+ years,household_disadvantage,Household disadvantage,-0.23060276288682852,-20.59451685573841,-42.52636553385252,9.706490844727277,0.16203686836857334,642,89,0.6320620795091172,Middle SDI
pathway_model_variant,sdi_stratum_Middle SDI,age70p,70+ years,ambient_pollution,Ambient pollution,-0.04806543605559047,-4.692858019741508,-15.307808584085059,7.252524236115487,0.4249805271188777,642,89,0.6320620795091172,Middle SDI
pathway_model_variant,sdi_stratum_Middle SDI,age70p,70+ years,thermal_context,Thermal context,0.6037106959554697,82.88926894021617,64.06192455352549,103.87719322757363,1.2612971462929601e-27,642,89,0.6320620795091172,Middle SDI
pathway_model_variant,sdi_stratum_Middle SDI,age70p,70+ years,wetness_context,Wetness context,-0.19581566309427534,-17.783622416312006,-31.473329965678776,-1.3590950851970818,0.035098282354411744,642,89,0.6320620795091172,Middle SDI
pathway_model_variant,sdi_stratum_High-middle SDI,age70p,70+ years,household_disadvantage,Household disadvantage,-0.2468062316530692,-21.87079314623488,-41.42286568770839,4.207435806868087,0.09305293583656549,539,85,0.6538228574041507,High-middle SDI
pathway_model_variant,sdi_stratum_High-middle SDI,age70p,70+ years,ambient_pollution,Ambient pollution,-0.03718691843081709,-3.6503976648331493,-13.382816263962727,7.175568053968884,0.49368315781448036,539,85,0.6538228574041507,High-middle SDI
pathway_model_variant,sdi_stratum_High-middle SDI,age70p,70+ years,thermal_context,Thermal context,0.6214543308038338,86.16335050020571,71.40604640995562,102.191193340829,3.1680009234809238e-49,539,85,0.6538228574041507,High-middle SDI
pathway_model_variant,sdi_stratum_High-middle SDI,age70p,70+ years,wetness_context,Wetness context,-0.21750582842209001,-19.54770841929716,-30.68372589297007,-6.6226322177638135,0.004217840780662923,539,85,0.6538228574041507,High-middle SDI
pathway_model_variant,sdi_stratum_High SDI,age70p,70+ years,household_disadvantage,Household disadvantage,0.12891624323765372,13.759483891482581,-17.861665347790655,57.553963445354505,0.43785364431328333,1931,87,0.5069076408967783,High SDI
pathway_model_variant,sdi_stratum_High SDI,age70p,70+ years,ambient_pollution,Ambient pollution,-0.12883374579645732,-12.087988918954462,-23.576423522897137,1.1274537070298463,0.07137923485374734,1931,87,0.5069076408967783,High SDI
pathway_model_variant,sdi_stratum_High SDI,age70p,70+ years,thermal_context,Thermal context,0.44696597402877325,56.356109669640084,41.98148122718048,72.18606835004915,1.0485028698839345e-19,1931,87,0.5069076408967783,High SDI
pathway_model_variant,sdi_stratum_High SDI,age70p,70+ years,wetness_context,Wetness context,-0.21859324740553857,-19.635146219046174,-36.408698193071054,1.5627851564184558,0.0672298524918879,1931,87,0.5069076408967783,High SDI
