country,location_name,dominant_D_1990,dominant_label_1990,clean_domain_archetype_weight_D1_1990,clean_domain_archetype_weight_D2_1990,clean_domain_archetype_weight_D3_1990,clean_domain_archetype_weight_D4_1990,clean_domain_archetype_weight_D5_1990,clean_domain_archetype_weight_D6_1990,dominant_D_2000,dominant_label_2000,clean_domain_archetype_weight_D1_2000,clean_domain_archetype_weight_D2_2000,clean_domain_archetype_weight_D3_2000,clean_domain_archetype_weight_D4_2000,clean_domain_archetype_weight_D5_2000,clean_domain_archetype_weight_D6_2000,dominant_D_2010,dominant_label_2010,clean_domain_archetype_weight_D1_2010,clean_domain_archetype_weight_D2_2010,clean_domain_archetype_weight_D3_2010,clean_domain_archetype_weight_D4_2010,clean_domain_archetype_weight_D5_2010,clean_domain_archetype_weight_D6_2010,dominant_D_2023,dominant_label_2023,clean_domain_archetype_weight_D1_2023,clean_domain_archetype_weight_D2_2023,clean_domain_archetype_weight_D3_2023,clean_domain_archetype_weight_D4_2023,clean_domain_archetype_weight_D5_2023,clean_domain_archetype_weight_D6_2023,clean_domain_archetype_weight_D1_delta_2023_1990,clean_domain_archetype_weight_D2_delta_2023_1990,clean_domain_archetype_weight_D3_delta_2023_1990,clean_domain_archetype_weight_D4_delta_2023_1990,clean_domain_archetype_weight_D5_delta_2023_1990,clean_domain_archetype_weight_D6_delta_2023_1990,trajectory_raw,lri_incidence_rate_u5_1990,lri_incidence_rate_age70p_1990,lri_incidence_rate_all_age_1990,lri_incidence_rate_5_69_1990,lri_incidence_rate_u5_2023,lri_incidence_rate_age70p_2023,lri_incidence_rate_all_age_2023,lri_incidence_rate_5_69_2023,u5_percent_decline,age70p_percent_decline,all_age_percent_decline,5_69_percent_decline,clean_domain_trajectory_cluster
LKA,Sri Lanka,D1,Low-SDI household-energy domain,0.6178986814052412,0.0,0.0,0.3014470914866201,0.08065422710813881,0.0,D1,Low-SDI household-energy domain,0.5179583203277439,0.0,0.01669263610451178,0.2726399806547772,0.19270906291296702,0.0,D1,Low-SDI household-energy domain,0.41846572501509005,0.0,0.0,0.22107172738354267,0.3604625476013673,0.0,D5,Warm-humid climate domain,0.24610997352293376,0.0,0.005514694787268534,0.15130784075750633,0.5970674909322913,0.0,-0.37178870788230745,0.0,0.005514694787268534,-0.15013925072911374,0.5164132638241524,0.0,3,15093.60331777079,13270.212711684751,3209.20732930585,1390.8632955838618,6790.61867487166,9889.80853771422,2382.10910817535,1321.7788982643312,55.009956655767056,25.473624631457504,25.772663971492342,4.9670156325845145,2
THA,Thailand,D1,Low-SDI household-energy domain,0.49095612065827815,0.08029959450138424,0.0,0.3425582444183384,0.08618604042199925,0.0,D1,Low-SDI household-energy domain,0.3641578363422902,0.0552127072775468,0.0,0.3053213275547432,0.2753081288254198,0.0,D5,Warm-humid climate domain,0.11066198446132901,0.20003707489928813,0.0,0.1321561387970808,0.557144801842302,0.0,D5,Warm-humid climate domain,0.0,0.18190070575106188,0.0,0.1517583026352555,0.661898674801597,0.004442316812085563,-0.49095612065827815,0.10160111124967763,0.0,-0.19079994178308288,0.5757126343795977,0.004442316812085563,3,16401.632407731307,11851.38290778642,2926.39830225635,1131.3159814766311,7983.282763665279,16119.9629241909,3692.00899943989,1663.205986053798,51.326291400713465,-36.01756900116697,-26.162217788099078,-47.015158743088406,2
TLS,Timor-Leste,D1,Low-SDI household-energy domain,0.662527226715473,0.22390128155846495,0.0,0.0,0.003906613822310611,0.10966487790375144,D1,Low-SDI household-energy domain,0.7622401569183127,0.05467995554365513,0.0,0.06906451513814407,0.013679145134633227,0.10033622726525486,D1,Low-SDI household-energy domain,0.7879553283959644,0.0,0.0,0.047286217555259226,0.07680600795245826,0.08795244609631815,D1,Low-SDI household-energy domain,0.5655889752938428,0.08772490634765194,0.0,0.09412333970066795,0.0897020264917489,0.16286075216608845,-0.09693825142163026,-0.136176375210813,0.0,0.09412333970066795,0.08579541266943828,0.053195874262337,0,35121.72623808823,15603.2397802513,7894.14635954873,936.3405584087124,13821.334826356118,14309.591385605949,3418.7078227033903,827.7433427817018,60.647336259436514,8.290896075843786,56.693128465142614,11.598046741835986,1
VNM,Viet Nam,D1,Low-SDI household-energy domain,0.6926575748222565,0.039928675759570584,0.0,0.2674137494181728,0.0,0.0,D1,Low-SDI household-energy domain,0.6733660129169775,0.0,0.0,0.3266339870830225,0.0,0.0,D1,Low-SDI household-energy domain,0.5620237820845959,0.0,0.0,0.29815867306322275,0.13981754485218126,0.0,D1,Low-SDI household-energy domain,0.3816903683981924,0.0,0.0,0.2824194968310711,0.3156325310094698,0.020257603761266618,-0.3109672064240641,-0.039928675759570584,0.0,0.015005747412898285,0.3156325310094698,0.020257603761266618,0,19678.15963254046,12058.2303271942,4058.8641927185295,1042.041576830729,6907.004009406701,10573.87265609887,1949.3817939997896,1091.0352991992906,64.9001525631236,12.30991307030972,51.97223406742909,-4.701705139018688,1
FJI,Fiji,D1,Low-SDI household-energy domain,0.5106816951107339,0.0,0.0,0.0,0.26314487465487296,0.22617343023439304,D1,Low-SDI household-energy domain,0.43844317440875674,0.0,0.0,0.0,0.37043628148811814,0.19112054410312515,D5,Warm-humid climate domain,0.38362649879804384,0.0,0.0,0.0,0.4023716961230461,0.21400180507891006,D5,Warm-humid climate domain,0.25990602758475934,0.0,0.0,0.0,0.520842561100481,0.21925141131475975,-0.2507756675259746,0.0,0.0,0.0,0.25769768644560803,-0.006922018919633288,3,12809.65322311785,15141.47849662149,3657.59570991058,2026.8906023291324,7945.86596487596,10316.58527979976,2536.88390699479,1640.701859521453,37.969702797762785,31.86540348684117,30.640669221016477,19.05326031725165,2
KIR,Kiribati,D1,Low-SDI household-energy domain,0.7211455158422654,0.0,0.0,0.0,0.11288245619288632,0.1659720279648484,D1,Low-SDI household-energy domain,0.6581855136385129,0.026467451066193765,0.0,0.0,0.07283571974462971,0.24251131555066371,D1,Low-SDI household-energy domain,0.6665546811274404,0.0,0.0,0.0,0.10760232818450824,0.22584299068805133,D1,Low-SDI household-energy domain,0.6086158531486291,0.0,0.0,0.0,0.18716758168197578,0.204216565169395,-0.11252966269363629,0.0,0.0,0.0,0.07428512548908946,0.0382445372045466,0,16105.69463897378,17740.23441999498,4806.38679004594,2107.231575327344,8611.86182316997,13047.07739756665,2708.2098058760803,1700.9052635995076,46.52908790204967,26.454876025418706,43.65393539519538,19.282470730096026,1
MHL,Marshall Islands,D1,Low-SDI household-energy domain,0.6901409522340967,0.0,0.0,0.0,0.17401093949745197,0.13584810826845137,D1,Low-SDI household-energy domain,0.6505768877354989,0.0,0.0,0.0,0.20565896231648392,0.14376414994801723,D1,Low-SDI household-energy domain,0.6119837538372417,0.0,0.0,0.0,0.22496929192667836,0.1630469542360799,D1,Low-SDI household-energy domain,0.48352049904370475,0.0,0.0,0.0,0.3424242875287186,0.17405521342757663,-0.2066204531903919,0.0,0.0,0.0,0.16841334803126665,0.03820710515912526,0,16583.50959938632,15894.21533442644,4763.20956315742,2520.8952945519973,10544.27684779045,10477.373076073,2707.4509650957298,1972.9792153953256,36.41709684793957,34.08058934888536,43.15910460800671,21.734979645556642,1
FSM,Micronesia (Federated States of),D1,Low-SDI household-energy domain,0.6757997485327563,0.0,0.0,0.0,0.17265309691775704,0.15154715454948667,D1,Low-SDI household-energy domain,0.6259927427246896,0.0,0.0,0.0,0.2364873771993696,0.1375198800759407,D1,Low-SDI household-energy domain,0.5826855727838679,0.0,0.0,0.0,0.24882775920030537,0.16848666801582682,D1,Low-SDI household-energy domain,0.5333171020879593,0.0,0.0,0.0,0.3098452300003069,0.15683766791173362,-0.1424826464447969,0.0,0.0,0.0,0.13719213308254985,0.005290513362246951,0,14095.42494182611,13858.186858405012,4122.36463368607,2264.4401871725368,5855.66071761687,11252.66309720697,2227.83987082804,2202.297924121386,58.45701181919636,18.801332294186718,45.95723404419017,2.744266039932092,1
PNG,Papua New Guinea,D1,Low-SDI household-energy domain,0.8452062615011416,0.0,0.0,0.0,0.1232754599372126,0.031518278561645637,D1,Low-SDI household-energy domain,0.7947197335285823,0.0,0.0,0.0,0.16704410020619637,0.0382361662652213,D1,Low-SDI household-energy domain,0.7833569293971216,0.0,0.0,0.0,0.18994814587486014,0.026694924728018234,D1,Low-SDI household-energy domain,0.7326506847240952,0.0,0.0,0.0,0.22222929550836026,0.04512001976754441,-0.11255557677704642,0.0,0.0,0.0,0.09895383557114766,0.01360174120589877,0,20289.47141073644,16661.64298378931,5146.8395856322295,1477.5429244087138,10922.871222401913,15514.253035581629,3356.7602624414003,1742.8869050416793,46.164831003818406,6.886415399273739,34.78016544731574,-17.958461730589068,1
WSM,Samoa,D1,Low-SDI household-energy domain,0.627668135023235,0.0,0.0,0.0,0.196340611614281,0.17599125336248395,D1,Low-SDI household-energy domain,0.5931465673250254,0.0,0.0,0.0,0.22348794810401065,0.1833654845709639,D1,Low-SDI household-energy domain,0.5158898392088799,0.0,0.0,0.0,0.30190128481175954,0.18220887597936064,D1,Low-SDI household-energy domain,0.47320956697824623,0.0,0.0,0.0,0.3291807529924696,0.19760968002928397,-0.1544585680449888,0.0,0.0,0.0,0.13284014137818861,0.021618426666800028,0,15752.61247508099,19658.02667014157,4695.14757069966,2192.4088852179784,7827.890044918629,14551.072251541062,3089.88928818099,1775.6528073070765,50.307353416447306,25.97897797319313,34.18973010638424,19.009048937943266,1
