variant,outcome,outcome_label,pathway,pathway_label,beta_log_rate,percent_difference_per_1sd,ci_low_percent,ci_high_percent,p_value,n,n_countries,r2
population_weighted_primary,u5,Under-5,household_energy,Household-energy context,0.11734758489592456,12.451022453877147,-18.45061720974941,55.062270470478005,0.47410706737465313,6902,203,0.8346932424628575
population_weighted_primary,u5,Under-5,ambient_pm25,Ambient PM2.5 context,0.15308738701026176,16.542681765825673,4.617980010714606,29.826600282087966,0.0054410705422129274,6902,203,0.8346932424628575
population_weighted_primary,u5,Under-5,thermal_context,Thermal climate context,-0.0023461009681478504,-0.23433510242405475,-9.654057765736345,10.167514404212774,0.9630202459395253,6902,203,0.8346932424628575
population_weighted_primary,u5,Under-5,wetness_context,Wetness/precipitation context,0.04253991835683471,4.34577086594834,-3.8932113515364186,13.291059359343759,0.3107274823617471,6902,203,0.8346932424628575
within_country_fe_year_fe,u5,Under-5,household_energy,Household-energy context,0.010689929823006986,1.0747271266003056,-4.170086497983572,6.606591724636646,0.6941700374340349,6902,203,0.9865985789101385
within_country_fe_year_fe,u5,Under-5,ambient_pm25,Ambient PM2.5 context,-0.00091312015065982,-0.09127033833176146,-6.595482863404978,6.865862258149269,0.9787901373532524,6902,203,0.9865985789101385
within_country_fe_year_fe,u5,Under-5,thermal_context,Thermal climate context,-0.07597315808159716,-7.315891558174359,-13.902904358708867,-0.22492752315016462,0.04340093915149589,6902,203,0.9865985789101385
within_country_fe_year_fe,u5,Under-5,wetness_context,Wetness/precipitation context,0.01782179462332928,1.7981550439094107,-1.0957268388775532,4.77671023841344,0.22582368444115186,6902,203,0.9865985789101385
population_weighted_primary,all_age,All ages,household_energy,Household-energy context,0.02906232661953358,2.9488757029666024,-21.852894923441323,35.62205532913627,0.8362826110691721,6902,203,0.7386917191300084
population_weighted_primary,all_age,All ages,ambient_pm25,Ambient PM2.5 context,-0.008897716022849216,-0.8858248491343534,-12.724308369600967,12.558486015077364,0.8909516564147075,6902,203,0.7386917191300084
population_weighted_primary,all_age,All ages,thermal_context,Thermal climate context,0.1618384497836925,17.567029618791864,8.077827628120883,27.889380798300966,0.00016382768182920165,6902,203,0.7386917191300084
population_weighted_primary,all_age,All ages,wetness_context,Wetness/precipitation context,-0.07394999353935358,-7.128186541304227,-14.705003663903337,1.1216848069272922,0.08855370571592797,6902,203,0.7386917191300084
within_country_fe_year_fe,all_age,All ages,household_energy,Household-energy context,-0.047836585738335366,-4.671044454137152,-8.443499310654357,-0.743150982804941,0.02023048558595343,6902,203,0.9793303587572194
within_country_fe_year_fe,all_age,All ages,ambient_pm25,Ambient PM2.5 context,-0.02229746907170499,-2.2050717886519466,-8.761305116186458,4.8222795826008635,0.5288430596877104,6902,203,0.9793303587572194
within_country_fe_year_fe,all_age,All ages,thermal_context,Thermal climate context,-0.022187445146127433,-2.194311414810124,-8.560735825102483,4.615372902893999,0.5182237914589852,6902,203,0.9793303587572194
within_country_fe_year_fe,all_age,All ages,wetness_context,Wetness/precipitation context,-0.00383007632225197,-0.3822750935182917,-2.8805450589182158,2.1802595737768993,0.7675642560353259,6902,203,0.9793303587572194
population_weighted_primary,age5_69,5-69 years,household_energy,Household-energy context,0.12758092372731017,13.607680009055168,-17.120613381858963,55.72877024906446,0.4278336493243641,6902,203,0.5524906033192627
population_weighted_primary,age5_69,5-69 years,ambient_pm25,Ambient PM2.5 context,-0.008019632412042708,-0.7987560951072004,-15.504909273411027,16.466965212468775,0.9219649895673955,6902,203,0.5524906033192627
population_weighted_primary,age5_69,5-69 years,thermal_context,Thermal climate context,0.19065099352748713,21.003706760955353,3.6691179177301025,41.23682485184072,0.015660140750550482,6902,203,0.5524906033192627
population_weighted_primary,age5_69,5-69 years,wetness_context,Wetness/precipitation context,-0.15299759560841256,-14.186821490624169,-24.428389084751633,-2.5573027133108273,0.01830095796796788,6902,203,0.5524906033192627
within_country_fe_year_fe,age5_69,5-69 years,household_energy,Household-energy context,-0.010400369100954127,-1.0346472273033092,-5.330690935064675,3.4563486959256595,0.6460084666293855,6902,203,0.9821311361547006
within_country_fe_year_fe,age5_69,5-69 years,ambient_pm25,Ambient PM2.5 context,0.05301980078132688,5.445052385689042,-1.882351374368707,13.319664997721702,0.1490670292429703,6902,203,0.9821311361547006
within_country_fe_year_fe,age5_69,5-69 years,thermal_context,Thermal climate context,0.01994276332151574,2.0142948761744384,-4.522434903890504,8.998552158376437,0.5550253933594242,6902,203,0.9821311361547006
within_country_fe_year_fe,age5_69,5-69 years,wetness_context,Wetness/precipitation context,-0.003400189822900815,-0.3394415723683264,-3.0987009289699885,2.4983875482094797,0.8123809441366896,6902,203,0.9821311361547006
population_weighted_primary,age70p,70+ years,household_energy,Household-energy context,-0.001127042823320384,-0.11264079490901358,-29.36526662208521,41.25464982765141,0.994913771258237,6902,203,0.7433665196069204
population_weighted_primary,age70p,70+ years,ambient_pm25,Ambient PM2.5 context,-0.07676634508553525,-7.389378240268584,-22.860720746300125,11.184954613283704,0.4104392801912513,6902,203,0.7433665196069204
population_weighted_primary,age70p,70+ years,thermal_context,Thermal climate context,0.43003801017074156,53.73159560797334,30.720584150148067,80.79328241853393,2.0128647906790042e-07,6902,203,0.7433665196069204
population_weighted_primary,age70p,70+ years,wetness_context,Wetness/precipitation context,-0.17054893215284075,-15.679817106163474,-28.46553193142941,-0.6088472422171143,0.04207742107868948,6902,203,0.7433665196069204
within_country_fe_year_fe,age70p,70+ years,household_energy,Household-energy context,-0.04384731532133998,-4.289991916434865,-9.690193875881626,1.4331227194352314,0.1389400562097181,6902,203,0.9812556556504977
within_country_fe_year_fe,age70p,70+ years,ambient_pm25,Ambient PM2.5 context,0.00966398902579303,0.9710836156178626,-5.951169834399195,8.402834023139881,0.7896999259185342,6902,203,0.9812556556504977
within_country_fe_year_fe,age70p,70+ years,thermal_context,Thermal climate context,0.09143908982433749,9.575003233290502,1.382425232880391,18.429612489498925,0.021096853786946146,6902,203,0.9812556556504977
within_country_fe_year_fe,age70p,70+ years,wetness_context,Wetness/precipitation context,-0.015667321353505185,-1.5545227334674894,-4.302917122961681,1.2728048010412607,0.27814762132907034,6902,203,0.9812556556504977
